cctv分类,#genre#
CCTV11,https://migu.188766.xyz/?migutoken=f5329b2daa6b992bea9e79370342497a&id=CCTV11&type=yy
CCTV7,https://migu.188766.xyz/?migutoken=91331aa38814d582465cd1fdeda67903&id=CCTV7&type=yy
CCTV9,https://migu.188766.xyz/?migutoken=536e26259ffae5c767af54214970160b&id=CCTV9&type=yy
CCTV-8,https://smart.pendy.dpdns.org/Smart.php?id=cctv8hd
CCTV-15,https://smart.pendy.dpdns.org/Smart.php?id=cctv15
CCTV17,https://migu.188766.xyz/?migutoken=e675937a168d5ace36648c00e5e7b954&id=CCTV17&type=yy
CCTV-12,https://smart.pendy.dpdns.org/Smart.php?id=cctv12
CCTV-6,https://smart.pendy.dpdns.org/Smart.php?id=cctv6
CCTV-10,https://smart.pendy.dpdns.org/Smart.php?id=cctv10hd
CCTV-7,https://smart.pendy.dpdns.org/Smart.php?id=cctv7
CCTV-14,https://smart.pendy.dpdns.org/Smart.php?id=cctv14
CCTV4,https://migu.188766.xyz/?migutoken=1dfc19574a3f77d9a0571f327bda2832&id=CCTV4%E6%AC%A7%E6%B4%B2&type=yy
CCTV1,https://migu.188766.xyz/?migutoken=d7cfc6994a4495d0a3ab5a7deebf6d1c&id=CCTV1&type=yy
CCTV-13,https://smart.pendy.dpdns.org/Smart.php?id=cctv13
CCTV13,https://migu.188766.xyz/?migutoken=e7826d9f31f3dd1a5e026e02613bb64f&id=CCTV13&type=yy
CCTV-11,https://smart.pendy.dpdns.org/Smart.php?id=cctv11
CCTV-6,https://migu.188766.xyz/?migutoken=6818dd0cb7452ab9cba884dc087f5f3e&id=CCTV6&pp=1
CCTV8,https://cc06.tv12.xyz/9.m3u8
CCTV4,https://cc06.tv12.xyz/4.m3u8
CCTV2,https://cc06.tv12.xyz/2.m3u8
CCTV3,https://cc06.tv12.xyz/3.m3u8
北京青年,http://player.cntv.cn/standard/live_HLSDRM20180919.swf?v=180.171.5.8.9.6.3.9&ChannelID=btv8&videoTVChannel=btv8&P2PChannelID=pd://cctv_p2p_hdbtv8&tai=btv8&VideoName=btv8&channelID=btv8
CCTV9,https://cc06.tv12.xyz/10.m3u8
CCTV5+,https://cc06.tv12.xyz/6.m3u8
CCTV5,https://cc06.tv12.xyz/5.m3u8
CCTV-6,https://cc06.tv12.xyz/7.m3u8
CCTV7,https://cc06.tv12.xyz/8.m3u8
CCTV6,http://112.27.235.94:8000/hls/7/index.m3u8
CCTV3,http://223.105.252.59/PLTV/4/224/3221228499/index.m3u8?servicetype=1
CCTV14,http://112.27.235.94:8000/hls/15/index.m3u8
CCTV5,http://223.105.252.61/PLTV/4/224/3221228502/index.m3u8?servicetype=1
CCTV1,https://cc06.tv12.xyz/1.m3u8
CCTV2,http://112.27.235.94:8000/hls/2/index.m3u8
CCTV10,http://112.27.235.94:8000/hls/11/index.m3u8
CCTV15,http://112.27.235.94:8000/hls/16/index.m3u8
CCTV9,http://112.27.235.94:8000/hls/10/index.m3u8
CCTV8,http://223.105.252.57/PLTV/3/224/3221228165/index.m3u8?servicetype=1
CCTV13,http://112.27.235.94:8000/hls/14/index.m3u8
CCTV5,http://112.27.235.94:8000/hls/5/index.m3u8
CCTV5+,http://112.27.235.94:8000/hls/6/index.m3u8
CCTV7,http://112.27.235.94:8000/hls/8/index.m3u8
CCTV3,http://112.27.235.94:8000/hls/3/index.m3u8
CCTV12,http://112.27.235.94:8000/hls/13/index.m3u8
CCTV11,http://112.27.235.94:8000/hls/12/index.m3u8
CCTV3,http://111.14.181.15:9901/tsfile/live/0003_1.m3u8
北京科教,http://player.cntv.cn/standard/live_HLSDRM20180606.swf?ChannelID=btv3&P2PChannelID=pd://cctv_p2p_hdbtv3
CCTV6,http://111.14.181.15:9901/tsfile/live/0006_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV3,http://111.14.181.15:9901/tsfile/live/0003_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV13,http://111.14.181.15:9901/tsfile/live/0013_1.m3u8
CCTV11,https://api.olelive.com/dis/live/CCTV11HD/hls.m3u8
CCTV1,http://112.27.235.94:8000/hls/1/index.m3u8
CCTV10,https://api.olelive.com/dis/live/CCTV10HD/hls.m3u8
CCTV15,http://111.14.181.15:9901/tsfile/live/0015_1.m3u8
CCTV8,http://111.14.181.15:9901/tsfile/live/0008_1.m3u8
CCTV4,http://111.14.181.15:9901/tsfile/live/0004_1.m3u8
CCTV13,https://api.olelive.com/dis/live/CCTV13HD/hls.m3u8
CCTV1,http://111.14.181.15:9901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV5,http://111.14.181.15:9901/tsfile/live/0005_1.m3u8
CCTV12,http://111.14.181.15:9901/tsfile/live/0012_1.m3u8
CCTV7,http://111.14.181.15:9901/tsfile/live/0007_1.m3u8
CCTV1,http://111.14.181.15:9901/tsfile/live/0001_1.m3u8
CCTV15,http://223.167.245.215:8001/rtp/239.45.1.200:5140
CCTV17,http://223.167.245.215:8001/rtp/239.45.3.52:5140
CCTV14,http://223.167.245.215:8001/rtp/239.45.3.23:5140
CCTV8,http://223.167.245.215:8001/rtp/239.45.1.71:5140
CCTV8,http://112.27.235.94:8000/hls/9/index.m3u8
CCTV2,http://58.19.43.46:9901/tsfile/live/1021_1.m3u8
CCTV1,http://58.19.43.46:9901/tsfile/live/1020_1.m3u8
CCTV11,http://58.19.43.46:9901/tsfile/live/1030_1.m3u8
CCTV17,http://58.19.43.46:9901/tsfile/live/1047_1.m3u8
CCTV1,http://223.167.245.215:8001/rtp/239.45.3.145:5140
CCTV13,http://125.115.205.189:4023/udp/233.50.201.246:5140
CCTV10,http://125.115.205.189:4023/udp/233.50.201.122:5140
CCTV13,http://58.19.43.46:9901/tsfile/live/1032_1.m3u8
CCTV17,http://125.115.205.189:4023/udp/233.50.200.113:5140
CCTV14,http://218.17.33.178:53290/tsfile/live/1014_1.m3u8?key=txiptv
CCTV3,https://api.olelive.com/dis/live/CCTV3HD/hls.m3u8
CCTV7,http://111.14.181.15:9901/tsfile/live/0007_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV3,http://125.42.150.65:9901/tsfile/live/1002_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV6,http://223.167.245.215:8001/rtp/239.45.1.70:5140
CCTV16,http://125.115.205.189:4023/udp/233.50.201.192:5140
CCTV12,http://125.115.205.189:4023/udp/233.50.201.123:5140
CCTV15,http://218.17.33.178:53290/tsfile/live/1015_1.m3u8?key=txiptv
CCTV5+,http://111.14.181.15:9901/tsfile/live/0016_1.m3u8
CCTV17,http://183.11.239.36:808/hls/35/index.m3u8
CCTV13,http://8.138.7.223/【公众号：榴芒电视】/cctv13.m3u8
CCTV4,http://113.57.93.165:9900/tsfile/live/0004_1.m3u8
CCTV3,http://223.167.245.215:8001/rtp/239.45.1.68:5140
CCTV15,http://58.19.43.46:9901/tsfile/live/1034_1.m3u8
CCTV9,http://183.11.239.36:808/hls/27/index.m3u8
CCTV14,http://111.14.181.15:9901/tsfile/live/0014_1.m3u8
CCTV6,http://183.11.239.36:808/hls/94/index.m3u8
CCTV4,http://223.167.245.215:8001/rtp/239.45.0.2:5140
CCTV7,http://lt.hxtre.com:35455/itv/1000000005000265007.m3u8?cdn=ystenlive
CCTV4,http://58.19.43.46:9901/tsfile/live/1023_1.m3u8
CCTV2,http://180.165.1.61:9898/rtp/239.45.3.208:5140
CCTV7,http://8.138.7.223/【公众号：榴芒电视】/cctv7.m3u8
CCTV3,http://113.57.93.165:9900/tsfile/live/0003_1.m3u8
CCTV7,http://8.138.7.223/tv/cctv7.m3u8
CCTV9,http://183.162.104.68:8888/rtp/238.1.78.240:7792
CCTV14,http://115.230.59.120:4022/udp/233.50.201.124:5140
CCTV17,https://api.olelive.com/dis/live/CCTV17HD/hls.m3u8
CCTV2,http://183.11.239.36:808/hls/20/index.m3u8
CCTV4,http://180.165.1.61:9898/rtp/239.45.0.2:5140
CCTV14,http://183.11.239.36:808/hls/32/index.m3u8
CCTV6,http://183.162.104.68:8888/rtp/238.1.78.172:7248
CCTV17,http://115.230.59.120:4022/udp/233.50.200.113:5140
CCTV12,http://113.57.93.165:9900/tsfile/live/0012_1.m3u8
CCTV1,http://116.235.57.12:4022/rtp/239.45.3.145:5140
CCTV14,http://58.19.43.46:9901/tsfile/live/1033_1.m3u8
CCTV6,http://58.19.43.46:9901/tsfile/live/1025_1.m3u8
CCTV2,http://113.57.93.165:9900/tsfile/live/0002_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV13,http://115.230.59.120:4022/udp/233.50.201.246:5140
CCTV10,http://125.42.150.65:9901/tsfile/live/1009_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV3,http://218.17.33.178:53290/tsfile/live/1003_1.m3u8?key=txiptv
CCTV8,https://piccpndali.v.myalicdn.com/audio/cctv8_2.m3u8
CCTV5,http://58.19.43.46:9901/tsfile/live/1024_1.m3u8
CCTV2,http://183.162.104.68:8888/rtp/238.1.78.235:7752
CCTV8,http://120.76.248.139/live/bfgd/4200000066.m3u8
CCTV13,http://125.42.150.134:9901/tsfile/live/1012_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV10,http://59.35.185.47:8188/udp/239.77.0.134:5146
CCTV7,http://223.167.245.215:8001/rtp/239.45.3.56:5140
CCTV15,http://113.57.93.165:9900/tsfile/live/0015_1.m3u8
CCTV10,http://lt.hxtre.com:35455/itv/1000000005000265010.m3u8?cdn=ystenlive
CCTV5+,http://120.76.248.139/live/bfgd/4200000246.m3u8
CCTV11,http://223.167.245.215:8001/rtp/239.45.1.196:5140
CCTV16,http://115.230.59.120:4022/udp/233.50.201.192:5140
CCTV4,http://113.57.93.165:9900/tsfile/live/0004_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV5+,http://lt.hxtre.com:35455/itv/1000000005000265016.m3u8?cdn=ystenlive
CCTV5+,http://59.35.185.47:8188/udp/239.77.0.87:5146
CCTV8,http://183.162.104.68:8888/rtp/238.1.78.173:7256
CCTV3,http://114.100.195.95:4022/rtp/238.1.78.170:7232
CCTV10,http://223.167.245.215:8001/rtp/239.45.3.8:5140
CCTV13,http://120.76.248.139/live/bfgd/4200000067.m3u8
CCTV13,http://182.114.50.147:9901/tsfile/live/0013_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV4,http://120.76.248.139/live/bfgd/4200000063.m3u8
