migu分类,#genre#
CCTV-5+,http://dd.ddzb.fun/php/migu.php?id=cctv5p
CCTV-16,http://dd.ddzb.fun/php/migu.php?id=cctv16
广西卫视,http://dd.ddzb.fun/php/migu.php?id=gxws
河南卫视,http://dd.ddzb.fun/php/migu.php?id=hnws
云南卫视,http://dd.ddzb.fun/php/migu.php?id=ynws
CCTV-13,http://dd.ddzb.fun/php/migu.php?id=cctv13
CCTV-4,http://dd.ddzb.fun/php/migu.php?id=cctv4
CCTV-3,http://dd.ddzb.fun/php/migu.php?id=cctv3
重庆卫视,http://dd.ddzb.fun/php/migu.php?id=cqws
湖南卫视,http://dd.ddzb.fun/php/migu.php?id=hunws
甘肃卫视,http://dd.ddzb.fun/php/migu.php?id=gsws
山东卫视,http://dd.ddzb.fun/php/migu.php?id=sdws
CCTV-1,http://dd.ddzb.fun/php/migu.php?id=cctv1
CCTV-5,http://dd.ddzb.fun/php/migu.php?id=cctv5
