movie分类,#genre#
淘剧场,http://dsj.motem.top:8880/bptv/10000100000000050000000003887497.m3u8
淘电影,http://dsj.motem.top:8880/bptv/10000100000000050000000003887498.m3u8
龙华电影,https://cdn3.132.us.kg/live/lhdy/stream.m3u8
龙华电影,https://cdn8.163189.xyz/live/lhdy/stream.m3u8
CHC家庭影院,https://json.doube.eu.org/live/migu/migu.php/index.m3u8?id=265667645&sign=ae13a16f0e9753d12c0e406d3a596592
CHC动作电影,https://json.doube.eu.org/live/migu/migu.php/index.m3u8?id=265218967&sign=ae13a16f0e9753d12c0e406d3a596592
千禧经典台(HK),http://cdn9.163189.xyz/smt3.1.1.php?id=Tvbclassic
经典电影,https://cdn.iptv8k.top/dl/jrys.php?id=396&time=20240926215313&ip=111.229.253.40
纬来电影,https://idx.gdplayertv.to/live-tv/videoland-movie/?embed=1###WEB\\n
天映经典,https://cdn.iptv8k.top/dl/jrys.php?id=71&time=20240926215313&ip=111.229.253.40
上虞文化影院,http://l.cztvcloud.com/channels/lantian/SXshangyu2/720p.m3u8
AMC电影,http://61.221.215.25:8800/hls/43/index.m3u8
千禧经典台(HK),http://php.jdshipin.com:8880/TVOD/iptv.php?id=tvbc
美亚电影台(HK),https://live.tvfix.org/live/mydy/1/v4000000/index.m3u8
龙华电影,https://smart.pendy.dpdns.org/Smart.php?id=xingwei_movie
千禧经典台(HK),https://smart.pendy.dpdns.org/Smart.php?id=Tvbclassic
CHC动作电影,http://119.32.12.17:2901/udp/224.1.100.131:11111
CHC动作电影,http://qjrhc.jydjd.top:2911/udp/224.1.100.131:11111
东森电影,https://smart.pendy.dpdns.org/Smart.php?id=ettvmovie
CHC动作电影,http://qjrhc.jydjd.top:2911/udp/224.1.100.132:11111
CHC影迷电影,http://58.19.38.162:9901/tsfile/live/1004_1.m3u8?key=txiptv&playlive=1&authid=0
CHC家庭影院,http://220.169.100.41:10087/udp/239.76.252.241:9000
淘电影,http://yc.myds.me:35455/bptv/10000100000000050000000003887498.m3u8
CHC家庭影院,http://220.169.100.41:10087/udp/239.76.245.241:1234
神乐欧美影院,http://tc-tct.douyucdn2.cn/dyliveflv1a/20415rnWbjg6Ex1K_2000.flv?wsAuth=3b64dd17d293b133c58bda21e3147e5b&token=cpn-androidmpro-0-20415-b6774b3b3249db1768f0ac048c5ed218ac54e1f82b04b2bf&logo=0&expire=0&did=d010b07dcb997ada9934081c873542f0&origin=tct&vhost=play2
CHC动作电影,http://220.169.100.41:10087/udp/239.76.245.243:1234
CHC动作电影,http://220.169.100.41:10087/udp/239.76.252.243:9000
CHC高清电影,http://218.15.183.23:9901/tsfile/live/23044_1.m3u8
都市剧场,http://183.64.174.171:40123/ch1.m3u8?zzhongqd
上虞文化影院,http://l.cztvcloud.com/channels/lantian/SXshangyu2/720p.m3u8?zzhed
CHC高清电影,http://api2.52tb.xyz/info?id=221&token=20230218qkyjia
CHC高清电影,http://api3.52tb.xyz/info?id=221&token=20221127jxwhhemby
CHC家庭影院,http://58.19.38.162:9901/tsfile/live/1006_1.m3u8?key=txiptv&playlive=1&authid=0
CHC动作电影,http://nas.hssvm.com:8888/udp/225.1.1.215:5002
CCTV-8电视剧,http://112.101.78.50:9901/tsfile/live/0008_1.m3u8?key=txiptv&playlive=1&authid=0
湖南电视剧,http://175.155.106.72:89/live1/live1.m3u8?zsicd 72.会东新闻
CHC家庭影院,http://nas.hssvm.com:8888/udp/225.1.1.213:5002
CHC家庭影院,http://113.195.172.192:808/hls/113/index.m3u8
经典老歌DJ舞曲串烧708090后,https://vd3.bdstatic.com/mda-ihps4033ktcz7mfq/sc/mda-ihps4033ktcz7mfq.mp4
CHC家庭影院,http://dassby.qqff.top:99/live/CHC家庭影院/index.m3u8
经典老歌伤感女声篇,https://vd3.bdstatic.com/mda-ig8mrb0k4jjc5ydt/sc/mda-ig8mrb0k4jjc5ydt.mp4
美亚电影台(HK),https://smart.pendy.dpdns.org/Smart.php?id=meiyamovie_twn
CHC动作电影,http://dassby.qqff.top:99/live/CHC动作电影/index.m3u8
CHC动作电影,http://113.195.172.192:808/hls/114/index.m3u8
湖南电影,http://116.128.242.83:9901/tsfile/live/1009_1.m3u8
CCTV-6电影,http://112.101.78.50:9901/tsfile/live/0006_1.m3u8?key=txiptv&playlive=1&authid=0
黑莓电影,https://epg.pw/stream/ffcb6572863f0745a7369fbd9d901f1dfd0ab8fab8bad8bebb4e01c90b303c47.m3u8
湖南电视剧,http://116.128.242.83:9901/tsfile/live/0120_1.m3u8?key=txiptv&amp;amp;playlive=1&amp;amp;authid=0
CHC家庭影院,http://qjrhc.jydjd.top:2911/udp/224.1.100.149:11111
斗鱼电影4y,http://tc-tct.douyucdn2.cn/dyliveflv1a/20415rnWbjg6Ex1K_2000.flv?wsAuth=99705a1921ddd49fb7079a02f02bedc4&token=cpn-androidmpro-0-20415-b6774b3b3249db17d8beee6676fdf877fe8b1576307ef8e6&logo=0&expire=0&did=d010b07dcb997ada9934081c873542f0&origin=tct&vhost=p
怀旧剧场,http://dassby.qqff.top:99/live/怀旧剧场/index.m3u8
CHC高清电影,http://183.237.95.108:9901/tsfile/live/1008_1.m3u8
CHC家庭影院,http://api3.52tb.xyz/info?id=220&token=20221127jxwhhemby
CHC家庭影院,http://api2.52tb.xyz/info?id=220&token=20230218jsyklh
CHC动作电影,http://183.237.95.108:9901/tsfile/live/1006_1.m3u8?key=txiptv&playlive=0&authid=0
东森电影,https://cdn.iptv8k.top/dl/jrys.php?id=231&time=20240926215313&ip=111.229.253.40
风云剧场,http://dassby.qqff.top:99/live/风云剧场/index.m3u8
都市剧场,http://183.237.95.108:9901/tsfile/live/1069_1.m3u8?key=txiptv&playlive=0&authid=0
CHC高清电影,http://dassby.qqff.top:99/live/CHC高清/index.m3u8
第一剧场,https://epg.pw/stream/6d7bf281e3d739806a73f5373acaa6e01988ec9739f5ac1355ce54b47a928472.m3u8
第一剧场,http://dassby.qqff.top:99/live/第一剧场/index.m3u8
CHC高清电影,http://183.237.95.108:9901/tsfile/live/1008_1.m3u8?key=txiptv&playlive=0&authid=0
湖南电视剧,http://php.jdshipin.com:8880/TVOD/iptv.php?id=hndsj
斗鱼电影1y,http://tc-tct.douyucdn2.cn/dyliveflv1a/20415rnWbjg6Ex1K_2000.flv?wsAuth=2ccc7b4ba29208aaba62dae54cbbd68c&token=cpn-androidmpro-0-20415-b6774b3b3249db17fff84d73c7585c95e780dbccdb08e4bc&logo=0&expire=0&did=d010b07dcb997ada9934081c873542f0&origin=tct&vhost=p
电影_喜乐影院,http://cdn.jdshipin.com:8880/huya.php?id=21059580
CHC高清电影,http://120.198.101.106:9901/tsfile/live/1053_1.m3u8?key=txiptv
DJ13首经典老歌,https://vd4.bdstatic.com/mda-igbpw1bm4vdxitj0/logo/sc/mda-igbpw1bm4vdxitj0.mp4
湖南电影,http://php.jdshipin.com:8880/TVOD/iptv.php?id=hndy
龙华电影,http://xg.52sw.top/play/4gtv/dxlitv.php?id=litv-longturn03
CHC动作电影,https://stream.freetv.fun/2f2e29b8759a2458730dc1f3686024472691952a50e787fe075944d0cb17f36e.ctv
电影_贺岁片,http://cdn.jdshipin.com:8880/huya.php?id=11601986
龙华电影,https://tv.iill.top/litv/litv-longturn03
靖天电影,https://tv.iill.top/litv/4gtv-4gtv061
CHC动作电影,http://api2.52tb.xyz/info?id=219&token=20230218jsyklh
CCTV 8 电视剧,https://tv.iill.top/migu/cctv8
CHC家庭影院,http://120.198.101.106:9901/tsfile/live/1051_1.m3u8?key=txiptv
句容影院,http://jrlive.jrntv.com/live/_definst_/yingshis/chunklist_w1994429382.m3u8?zjiangsd
CCTV 6 电影,https://tv.iill.top/migu/cctv6
都市剧场,http://dassby.qqff.top:99/live/都市剧场/index.m3u8
CHC家庭影院,http://qwt.zhibotv.top:2016/全网通.php?id=CHC家庭影院
经典电影,https://tv.iill.top/4gtv/201
斗鱼电影3y,http://tc-tct.douyucdn2.cn/dyliveflv1/85894rmovieChow_2000.flv?wsAuth=7d054e041804e80af8aa7e975e2d8573&token=cpn-androidmpro-0-85894-a3575d938a4aa309c687f5fb85a1009fc65cfbeeb2672310&logo=0&expire=0&did=d010b07dcb997ada9934081c873542f0&origin=tct&vhost=pla
CCTV-8电视剧,http://58.19.38.162:9901/tsfile/live/0008_1.m3u8?key=txiptv&playlive=1&authid=0
CHC家庭影院,http://61.162.52.6:8088/newlive/live/hls/60/live.m3u8
CCTV-6电影,http://58.19.38.162:9901/tsfile/live/0006_1.m3u8?key=txiptv&playlive=1&authid=0
奶虫影院,http://home.kuaidi521.com:35455/douyu/263824
CHC动作电影,http://qwt.zhibotv.top:2016/全网通.php?id=CHC动作电影
CHC家庭影院,http://tvbox6.icu/tv/migu.php?id=chcjtdy
美亚电影台(HK),http://php.jdshipin.com:8880/smt.php?id=meiyamovie_twn
CHC家庭影院,http://8.138.7.223/tv/hot.php?id=67
CHC动作电影,http://8.138.7.223/tv/migu2.php?id=62
奶虫影院,http://www.douzhicloud.site:35455/douyu/263824
CHC动作电影,http://8.138.7.223/tv/migu.php?id=chcdzdy
CHC家庭影院,http://eastscreen.tv/ooooo.php
龙华电影,http://8.138.7.223/tv/4gtv.php?id=28
CHC家庭影院,http://8.138.7.223/tv/migu.php?id=chcjtdy
CHC家庭影院,http://8.138.7.223/tv/migu2.php?id=63
东森电影,https://ali.hlspull.yximgs.com/live/11q2w3e4r5t6y7u8ik9ol0p1qaz2wsx3edc4rfv5tgb6yhn7ujm8ik9ol0p1qaz2wsx3ed.flv
CHC家庭影院,http://8.138.7.223/tv/migu3.php?id=chcjtdy
CHC家庭影院,http://eastscreen.tv/ooooo.php?id=chcjt
CHC高清电影,http://120.238.94.82:9901/tsfile/live/1053_1.m3u8
CHC动作电影,http://8.138.7.223/tv/hot.php?id=66
CHC动作电影,http://eastscreen.tv/ooooo.php?id=chcdz
CHC动作电影,http://8.138.7.223/tv/migu3.php?id=chcdzdy
CHC动作电影,http://58.19.38.162:9901/tsfile/live/1005_1.m3u8?key=txiptv&playlive=1&authid=0
CHC动作电影,http://tvbox6.icu/tv/migu.php?id=chcdzdy
斗鱼魔幻影院,http://b.zgjok.com:35455/douyu/1274132
CHC家庭影院,https://ali.hlspull.yximgs.com/live/diyp_chcjiating.flv
CHC动作电影,https://ali.hlspull.yximgs.com/live/diyp_chcdongzuo.flv
经典电影,http://lxajh.top/tv/douyu.php?id=74374
东森电影,http://1b6467f415.iok.la:9931/tsfile/live/1043_1.m3u8
河南电视剧,http://www.cdnstv.com:6398/hls/1113/index.m3u8
CHC家庭影院,http://eastscreen.tv/ooooo.php?id=chcjt###HLS\\n
