卫视分类,#genre#
中天娱乐,http://50.7.234.10:8278/ctient/playlist.m3u8?tid=MC9C7081133170811331&ct=19249&tsum=8b08b54208f3ee30e12f419d587f46ac
八大戏剧,http://50.7.234.10:8278/badadrama/playlist.m3u8?tid=ME4E4734124647341246&ct=19225&tsum=c4e596572a79ad99675ee2137d1cc43d
三立戏剧,https://pixman.mytvsuper.com.mp/Smart.php?id=sanlixiju_twn
无线娱乐,https://pixman.mytvsuper.com.mp/Smart.php?id=Tvbentertainment
中天娱乐,https://pixman.mytvsuper.com.mp/Smart.php?id=ctient
八大娱乐,https://pixman.mytvsuper.com.mp/Smart.php?id=badaentertain
纬来戏剧,http://108.181.20.197/livehttpplay?channel_id=20200
龙华戏剧,https://pixman.mytvsuper.com.mp/Smart.php?id=lunghuaxiju_twn
龙华戏剧,https://cdn3.132.us.kg/live/lhxj/stream.m3u8
EYE-戏剧,https://pixman.mytvsuper.com.mp/Smart.php?id=eyetvxiju_twn
龙游生活娱乐,http://l.cztvcloud.com/channels/lantian/SXlongyou2/720p.m3u8
东森戏剧,https://pixman.mytvsuper.com.mp/Smart.php?id=ettvdrama
东森戏剧,http://122.117.71.103:8529/http/61.222.53.250:8081/hls/64/806/ch13.m3u8
东森戏剧,http://122.117.71.103:8529/东森戏剧.m3u8
三立戏剧,http://61.221.215.25:8800/hls/41/index.m3u8
八大戏剧,http://122.117.71.103:8530/http/61.222.53.250:8081/hls/66/808/ch23.m3u8
龙华戏剧,http://122.117.71.103:8533/龙华戏剧.m3u8
龙华戏剧,http://122.117.71.103:8533/http/61.222.53.250:8081/hls/75/817/ch59.m3u8
八大戏剧,http://122.117.71.103:8530/八大戏剧.m3u8
龙华戏剧,http://122.117.71.103:8533/http/61.222.53.250:8068/hls/13/80/cstv13.m3u8
八大戏剧,http://61.221.215.25:8800/hls/39/index.m3u8
龙游生活娱乐,https://l.cztvcloud.com/channels/lantian/SXlongyou2/720p.m3u8
纬来娱乐,http://108.181.20.197/livehttpplay?channel_id=20202
八大娱乐,http://108.181.20.197/livehttpplay?channel_id=20071
龙华戏剧,https://cdn8.163189.xyz/live/lhxj/stream.m3u8
东森戏剧,http://122.117.71.103:8529/http/61.222.53.250:8081/hls/64/803/ch13.m3u8
南宁影视娱乐,http://688b7cbf9b7a8d911a085372b6c70ab5.livehwc3.cn/hls.nntv.cn/nnlive/YSYL_244.m3u8?sub_m3u8=true&edge_slice=true&user_session_id=e7eb508555e76e08cc1b198d04f41fb5
CCTV-3综艺,http://58.19.252.68:1111/tsfile/live/1002_1.m3u8?key=txiptv&playlive=1&authid=0
山东综艺,http://123.132.233.194:352/tsfile/live/1000_1.m3u8
湖南娱乐,http://112.123.208.162:85/tsfile/live/1011_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV戏曲,http://183.162.119.241:9901/tsfile/live/1067_1.m3u8?key=txiptv&playlive=1&authid=0
山东综艺,http://123.132.233.194:352/tsfile/live/1000_1.m3u8?key=txiptv&playlive=1&authid=0
湖南娱乐,http://112.123.208.83:85/tsfile/live/1011_1.m3u8?key=txiptv&playlive=1&authid=0
山东综艺,http://221.2.148.205:8154/tsfile/live/1003_1.m3u8?key=txiptv&playlive=1&authid=0
云南娱乐,http://220.164.192.48:50085/tsfile/live/1000_1.m3u8?
湖南娱乐,http://112.123.209.241:85/tsfile/live/1011_1.m3u8?key=txiptv&playlive=1&authid=0
七彩戏剧,http://nas.hssvm.com:8888/udp/225.1.1.86:5002
热门综艺,http://wouu.net:9977/udp/239.93.0.151:5140
八大戏剧,https://pixman.mytvsuper.com.mp/Smart.php?id=badadrama
CCTV娱乐,http://183.162.119.241:9901/tsfile/live/1004_1.m3u8?key=txiptv&playlive=1&authid=0
TVB娱乐新闻,http://ali.hlspull.yximgs.com/live/6425965d63a08c85ca806bfcc8c75cf4.flv
湖南娱乐,http://112.123.210.101:85/tsfile/live/1011_1.m3u8?key=txiptv&playlive=1&authid=0
戏曲精选,http://wouu.net:9977/udp/239.93.0.144:5140
靖天戏剧,https://cdn.iptv8k.top/dl/jrys.php?id=318&time=20240926215313&ip=111.229.253.40
山东综艺,http://123.129.70.178:9901/tsfile/live/1001_1.m3u8
靖天戏剧,http://serv00.bkpcp.top/litv3.php?id=4gtv-4gtv058
湖南娱乐,http://112.123.209.46:85/tsfile/live/1011_1.m3u8?key=txiptv&playlive=1&authid=0
