卫士&migu分类,#genre#
青海卫视,https://json.doube.eu.org/live/migu/migu.php/index.m3u8?id=531262027&sign=0ebe7b47792fd8cf295b43feccb0a1be
吉林卫视,https://json.doube.eu.org/live/migu/migu.php/index.m3u8?id=531262154&sign=0ebe7b47792fd8cf295b43feccb0a1be
江苏卫视,https://json.doube.eu.org/live/migu/migu.php/index.m3u8?id=264104188&sign=0ebe7b47792fd8cf295b43feccb0a1be
东方卫视,https://json.doube.eu.org/live/migu/migu.php/index.m3u8?id=264104266&sign=0ebe7b47792fd8cf295b43feccb0a1be
湖北卫视,https://json.doube.eu.org/live/migu/migu.php/index.m3u8?id=531261978&sign=0ebe7b47792fd8cf295b43feccb0a1be
海南卫视,https://json.doube.eu.org/live/migu/migu.php/index.m3u8?id=531262161&sign=0ebe7b47792fd8cf295b43feccb0a1be
广东卫视,https://json.doube.eu.org/live/migu/migu.php/index.m3u8?id=263541274&sign=0ebe7b47792fd8cf295b43feccb0a1be
江西卫视,https://json.doube.eu.org/live/migu/migu.php/index.m3u8?id=810783159&sign=0ebe7b47792fd8cf295b43feccb0a1be
陕西卫视,http://hlsbkmgsplive.miguvideo.com/migu/kailu/shan3xiws/57/20220809/index.m3u8?msisdn=&mtv_session=&HlsSubType=1&HlsProfileId=1&nphaid=0&encrypt=
东方卫视,https://tv.iill.top/migu/dfws
海南卫视,http://goo.bkpcp.top/mg/hinws###HLS\\n
江苏卫视,https://tv.iill.top/migu/jsws
湖北卫视,http://goo.bkpcp.top/mg/hubws###HLS\\n
海峡卫视,http://hlsbkmgsplive.miguvideo.com/migu/kailu/haixiaws/57/20230724/01.m3u8?msisdn=&Channel_ID=&ContentId=&HlsSubType=&HlsProfileId=&encrypt=
重庆卫视,http://goo.bkpcp.top/mg/cqws
辽宁卫视,http://goo.bkpcp.top/mg/lnws
山东卫视,http://goo.bkpcp.top/mg/sdws
江西卫视,http://goo.bkpcp.top/mg/jxws###HLS\\n
