更新时间,#genre#
20260710-14-12-23,url


RespoTime,whitelist,#genre#
27.28ms,河南卫视,http://tvcdn.stream3.hndt.com/tv/65c4a6d5017e1000b2b6ea2500000000_transios/playlist.m3u8?wsSecret=c51a085cbc2efd92e4c28d5a6196431a&wsTime=1783677579
27.47ms,都市频道,http://tvcdn.stream3.hndt.com/tv/65c3fbc5017e1000fde13faa00000000_transios/playlist.m3u8?wsSecret=fcb72243353135e3720e8575991796eb&wsTime=1783677579
56.78ms,青海卫视,http://204.12.221.218:8181/3m1080p/qhws.m3u8
62.80ms,西藏卫视,http://204.12.221.218:8181/3m1080p/xzws.m3u8
67.94ms,厦门卫视,http://204.12.221.218:8181/3m1080p/xmws.m3u8
69.31ms,CCTV-4K超高清,http://173.208.212.130:8181/720p/cctv4k.m3u8
88.05ms,CCTV10,http://107.150.60.122/live/cctv10hd.m3u8
88.14ms,Red Bull TV,http://rbmn-live.akamaized.net/hls/live/590964/BoRB-AT/master_6660.m3u8
88.73ms,天津卫视,http://204.12.221.218:8181/3m1080p/tjws.m3u8
88.85ms,CCTV-9,http://74.91.26.218:82/live/cctv9hd.m3u8
89.56ms,兵团卫视,http://192.151.150.154/live/btws.m3u8
89.86ms,CCTV-14,http://74.91.26.218:82/live/cctv14hd.m3u8
89.87ms,云南卫视,http://204.12.221.218:8181/3m1080p/ynws.m3u8
90.09ms,CHC家庭影院,http://198.204.228.26/live/chcjt.m3u8
90.15ms,CCTV7,http://107.150.60.122/live/cctv7hd.m3u8
90.16ms,广东卫视,http://204.12.221.218:8181/3m1080p/gdws.m3u8
90.21ms,CCTV-央视文化精品,http://192.151.150.154/live/ysjp.m3u8
90.22ms,安徽卫视,http://204.12.221.218:8181/3m1080p/ahws.m3u8
90.38ms,CCTV-6,http://74.91.26.218:82/live/cctv6hd.m3u8
90.38ms,吉林卫视,http://192.151.150.154/live/jlwshd.m3u8
90.39ms,CCTV8,http://198.204.228.26/live/cctv8hd.m3u8
90.42ms,CCTV-兵器科技,http://173.208.212.130:8181/720p/gfjs.m3u8
90.52ms,CCTV16,http://107.150.60.122/live/cctv16hd.m3u8
90.67ms,山东卫视,http://198.204.228.26/live/sdwshd.m3u8
90.77ms,CCTV-9,http://192.151.150.154/live/cctv9hd.m3u8
90.86ms,湖南卫视,http://107.150.60.122/live/hnwshd.m3u8
90.92ms,CCTV,http://107.150.60.122/live/cctv4k.m3u8
90.98ms,CHC家庭影院,http://192.151.150.154/live/chcjt.m3u8
91.08ms,CCTV-8,http://173.208.212.130:8181/720p/cctv8.m3u8
91.13ms,东方卫视,http://173.208.212.130:8181/720p/dfws.m3u8
91.15ms,CCTV-怀旧剧场,http://173.208.212.130:8181/720p/hjjc.m3u8
91.27ms,CCTV5,http://63.141.230.178:82/gslb/zbdq5.m3u8?id=cctv5hd
91.46ms,CCTV-3,http://74.91.26.218:82/live/cctv3hd.m3u8
91.48ms,CCTV-2财经,http://173.208.212.130:8181/1080p/cctv2.m3u8
91.91ms,CCTV-风云音乐,http://173.208.212.130:8181/720p/fyyy.m3u8
92.05ms,CCTV-4,http://69.30.245.50/live/cctv4.m3u8
92.11ms,广西卫视,http://107.150.60.122/live/gxwshd.m3u8
92.53ms,吉林卫视,http://204.12.221.218:8181/3m1080p/jlws.m3u8
92.58ms,江苏卫视,http://173.208.212.130:8181/720p/jsws.m3u8
92.71ms,CCTV-3综艺,http://173.208.212.130:8181/1080p/cctv3.m3u8
92.98ms,黑龙江卫视,http://192.151.150.154/live/hljwshd.m3u8
92.99ms,东方卫视,http://198.204.228.26/live/dfwshd.m3u8
93.10ms,CCTV-2,http://69.30.245.50/live/cctv2.m3u8
93.13ms,CCTV怀旧剧场,http://107.150.60.122/live/hjjc.m3u8
93.34ms,云南卫视,http://198.204.228.26/live/ynwshd.m3u8
93.35ms,宁夏卫视,http://198.204.228.26/live/nxws.m3u8
93.57ms,四川卫视,http://107.150.60.122/live/scwshd.m3u8
93.59ms,CCTV-8,http://74.91.26.218:82/live/cctv8hd.m3u8
93.66ms,CCTV-10,http://69.30.245.50/live/cctv10.m3u8
93.75ms,安徽卫视,http://192.151.150.154/live/ahwshd.m3u8
93.85ms,CCTV风云足球,http://107.150.60.122/live/fyzq.m3u8
94.22ms,厦门卫视,http://107.150.60.122/live/xmws.m3u8
94.28ms,CHC家庭影院,http://107.150.60.122/live/chcjt.m3u8
94.29ms,CCTV-14少儿,http://173.208.212.130:8181/720p/cctv14.m3u8
94.41ms,CCTV-8,http://192.151.150.154/live/cctv8k.m3u8
94.46ms,山东卫视,http://173.208.212.130:8181/720p/sdws.m3u8
94.53ms,CCTV-8电视剧,http://204.12.221.218:8181/3m1080p/cctv8.m3u8
94.72ms,CCTV-8电视剧,http://173.208.212.130:8181/1080p/cctv8.m3u8
94.75ms,CCTV-怀旧剧场,http://192.151.150.154/live/hjjc.m3u8
94.75ms,CCTV-4,http://74.91.26.218:82/live/cctv4hd.m3u8
